iter	Passed	Remaining
400	17987	26869
401	18023	26810
402	18064	26760
403	18102	26706
404	18134	26642
405	18174	26589
406	18214	26538
407	18254	26486
408	18292	26433
409	18333	26382
410	18366	26321
411	18406	26268
412	18441	26210
413	18474	26150
414	18509	26091
415	18551	26043
416	18588	25988
417	18631	25941
418	18666	25883
419	18704	25829
420	18743	25777
421	18783	25727
422	18823	25676
423	18862	25624
424	18901	25571
425	18941	25522
426	18981	25471
427	19021	25421
428	19072	25385
429	19124	25351
430	19178	25319
431	19226	25279
432	19266	25229
433	19307	25180
434	19346	25128
435	19386	25077
436	19427	25029
437	19467	24979
438	19513	24936
439	19563	24899
440	19612	24860
441	19658	24817
442	19701	24771
443	19753	24736
444	19800	24695
445	19850	24657
446	19896	24615
447	19939	24568
448	19983	24523
449	20019	24468
450	20058	24417
451	20105	24375
452	20148	24328
453	20191	24283
454	20234	24236
455	20275	24188
456	20319	24143
457	20358	24092
458	20400	24045
459	20447	24003
460	20493	23961
461	20536	23914
462	20574	23863
463	20616	23816
464	20657	23766
465	20698	23719
466	20739	23671
467	20781	23623
468	20825	23578
469	20865	23529
470	20901	23475
471	20940	23424
472	20978	23373
473	21016	23322
474	21060	23277
475	21101	23229
476	21143	23181
477	21188	23138
478	21227	23088
479	21268	23040
480	21301	22984
481	21340	22934
482	21381	22886
483	21419	22835
484	21463	22791
485	21503	22742
486	21544	22695
487	21588	22649
488	21631	22604
489	21676	22561
490	21712	22508
491	21753	22460
492	21797	22416
493	21837	22368
494	21881	22323
495	21918	22272
496	21958	22223
497	21998	22174
498	22038	22126
499	22075	22075
500	22114	22026
501	22150	21973
502	22190	21926
503	22228	21875
504	22265	21824
505	22306	21777
506	22342	21725
507	22380	21675
508	22419	21626
509	22458	21578
510	22497	21529
511	22533	21477
512	22570	21427
513	22613	21381
514	22648	21329
515	22688	21281
516	22726	21231
517	22757	21176
518	22796	21127
519	22835	21078
520	22870	21027
521	22907	20976
522	22948	20929
523	22991	20885
524	23036	20842
525	23080	20798
526	23123	20754
527	23163	20706
528	23199	20656
529	23237	20607
530	23274	20557
531	23310	20506
532	23348	20457
533	23383	20405
534	23419	20354
535	23456	20305
536	23493	20255
537	23537	20212
538	23572	20161
539	23612	20114
540	23653	20067
541	23686	20015
542	23721	19964
543	23761	19918
544	23796	19866
545	23831	19816
546	23872	19770
547	23912	19723
548	23950	19675
549	23986	19625
550	24023	19576
551	24063	19530
552	24100	19480
553	24139	19433
554	24182	19389
555	24219	19340
556	24255	19290
557	24290	19240
558	24326	19191
559	24363	19142
560	24398	19092
561	24436	19044
562	24478	18999
563	24515	18951
564	24553	18903
565	24589	18855
566	24632	18811
567	24671	18764
568	24711	18718
569	24746	18668
570	24785	18621
571	24822	18573
572	24858	18524
573	24899	18479
574	24935	18430
575	24970	18381
576	25009	18334
577	25043	18284
578	25083	18238
579	25128	18196
580	25163	18147
581	25205	18102
582	25244	18056
583	25278	18006
584	25317	17960
585	25352	17911
586	25387	17862
587	25425	17815
588	25461	17766
589	25499	17720
590	25536	17672
591	25571	17623
592	25612	17579
593	25655	17535
594	25692	17487
595	25734	17444
596	25770	17395
597	25803	17346
598	25840	17299
599	25878	17252
600	25916	17205
601	25951	17157
602	25986	17108
603	26023	17061
604	26062	17015
605	26097	16967
606	26138	16923
607	26177	16877
608	26216	16831
609	26254	16785
610	26289	16737
611	26326	16690
612	26361	16642
613	26399	16596
614	26437	16550
615	26475	16504
616	26519	16461
617	26553	16413
618	26591	16367
619	26631	16322
620	26667	16275
621	26703	16228
622	26739	16181
623	26776	16134
624	26812	16087
625	26849	16041
626	26887	15995
627	26924	15948
628	26962	15903
629	27001	15857
630	27035	15810
631	27072	15763
632	27110	15717
633	27150	15673
634	27191	15629
635	27233	15586
636	27270	15540
637	27307	15494
638	27342	15446
639	27381	15402
640	27422	15358
641	27456	15310
642	27495	15265
643	27531	15219
644	27568	15173
645	27605	15127
646	27644	15082
647	27685	15038
648	27731	14997
649	27775	14956
650	27820	14914
651	27863	14871
652	27906	14829
653	27949	14786
654	27990	14743
655	28028	14697
656	28069	14654
657	28114	14612
658	28163	14573
659	28209	14532
660	28248	14487
661	28293	14446
662	28334	14402
663	28381	14361
664	28420	14317
665	28461	14273
666	28502	14230
667	28545	14187
668	28591	14145
669	28637	14105
670	28680	14062
671	28721	14018
672	28761	13974
673	28804	13932
674	28843	13887
675	28887	13845
676	28928	13802
677	28968	13757
678	29010	13714
679	29054	13672
680	29106	13634
681	29159	13596
682	29207	13556
683	29257	13516
684	29297	13472
685	29340	13429
686	29381	13386
687	29420	13341
688	29468	13301
689	29507	13257
690	29545	13212
691	29584	13167
692	29626	13124
693	29669	13081
694	29713	13039
695	29762	12999
696	29805	12957
697	29855	12917
698	29900	12875
699	29948	12835
700	29997	12794
701	30052	12757
702	30103	12717
703	30168	12684
704	30214	12643
705	30267	12604
706	30313	12562
707	30362	12522
708	30412	12482
709	30465	12443
710	30516	12403
711	30565	12363
712	30609	12321
713	30653	12278
714	30712	12242
715	30759	12200
716	30805	12158
717	30847	12115
718	30890	12072
719	30937	12031
720	30981	11988
721	31028	11947
722	31072	11904
723	31116	11862
724	31158	11818
725	31202	11775
726	31245	11733
727	31288	11690
728	31335	11648
729	31376	11604
730	31428	11565
731	31476	11524
732	31526	11483
733	31575	11442
734	31619	11400
735	31663	11357
736	31707	11314
737	31748	11271
738	31790	11227
739	31836	11185
740	31884	11144
741	31930	11102
742	31978	11061
743	32022	11018
744	32065	10975
745	32118	10935
746	32170	10895
747	32221	10855
748	32267	10813
749	32311	10770
750	32358	10728
751	32408	10688
752	32461	10648
753	32511	10607
754	32558	10565
755	32607	10523
756	32656	10482
757	32715	10444
758	32769	10405
759	32822	10365
760	32876	10325
761	32939	10288
762	32987	10246
763	33034	10204
764	33079	10161
765	33127	10119
766	33174	10077
767	33222	10035
768	33269	9993
769	33313	9950
770	33366	9910
771	33413	9868
772	33466	9827
773	33514	9785
774	33563	9744
775	33609	9701
776	33662	9661
777	33706	9617
778	33752	9575
779	33800	9533
780	33847	9491
781	33896	9449
782	33939	9405
783	33984	9362
784	34031	9320
785	34081	9279
786	34135	9238
787	34190	9198
788	34236	9155
789	34293	9116
790	34365	9080
791	34474	9053
792	34523	9011
793	34569	8968
794	34619	8926
795	34660	8882
796	34702	8838
797	34745	8795
798	34788	8751
799	34832	8708
800	34872	8663
801	34912	8619
802	34949	8574
803	34986	8529
804	35025	8484
805	35060	8438
806	35103	8395
807	35147	8351
808	35186	8307
809	35227	8263
810	35262	8217
811	35298	8172
812	35336	8127
813	35372	8082
814	35411	8038
815	35452	7994
816	35493	7950
817	35539	7907
818	35579	7863
819	35622	7819
820	35664	7775
821	35704	7731
822	35745	7687
823	35784	7643
824	35832	7600
825	35872	7556
826	35913	7512
827	35957	7469
828	36006	7427
829	36047	7383
830	36092	7340
831	36137	7297
832	36180	7253
833	36219	7209
834	36257	7164
835	36296	7120
836	36331	7075
837	36374	7031
838	36416	6988
839	36455	6943
840	36494	6899
841	36535	6855
842	36578	6812
843	36620	6768
844	36660	6724
845	36704	6681
846	36742	6637
847	36785	6593
848	36825	6549
849	36865	6505
850	36909	6462
851	36948	6418
852	36991	6374
853	37030	6330
854	37069	6286
855	37112	6243
856	37150	6198
857	37195	6155
858	37234	6111
859	37272	6067
860	37313	6023
861	37355	5980
862	37391	5935
863	37428	5891
864	37463	5846
865	37505	5803
866	37543	5759
867	37580	5715
868	37627	5672
869	37664	5627
870	37702	5583
871	37741	5539
872	37776	5495
873	37813	5451
874	37850	5407
875	37885	5362
876	37925	5319
877	37964	5275
878	38001	5231
879	38043	5187
880	38078	5143
881	38116	5099
882	38159	5056
883	38194	5011
884	38230	4967
885	38265	4923
886	38303	4879
887	38341	4835
888	38376	4791
889	38413	4747
890	38455	4704
891	38492	4660
892	38529	4616
893	38584	4574
894	38656	4535
895	38708	4492
896	38760	4450
897	38798	4406
898	38838	4363
899	38880	4320
900	38914	4275
901	38948	4231
902	38989	4188
903	39024	4144
904	39059	4100
905	39098	4056
906	39132	4012
907	39172	3968
908	39209	3925
909	39247	3881
910	39291	3838
911	39332	3795
912	39370	3751
913	39411	3708
914	39447	3664
915	39490	3621
916	39537	3578
917	39574	3535
918	39620	3492
919	39657	3448
920	39697	3405
921	39738	3361
922	39777	3318
923	39820	3275
924	39856	3231
925	39893	3188
926	39931	3144
927	39964	3100
928	40002	3057
929	40044	3014
930	40081	2970
931	40116	2926
932	40154	2883
933	40194	2840
934	40232	2796
935	40270	2753
936	40313	2710
937	40354	2667
938	40393	2624
939	40437	2581
940	40477	2537
941	40516	2494
942	40556	2451
943	40595	2408
944	40638	2365
945	40679	2322
946	40717	2278
947	40754	2235
948	40794	2192
949	40831	2149
950	40871	2105
951	40912	2062
952	40949	2019
953	40986	1976
954	41028	1933
955	41067	1890
956	41109	1847
957	41148	1804
958	41186	1760
959	41224	1717
960	41263	1674
961	41310	1631
962	41347	1588
963	41384	1545
964	41422	1502
965	41464	1459
966	41505	1416
967	41543	1373
968	41584	1330
969	41624	1287
970	41666	1244
971	41704	1201
972	41742	1158
973	41779	1115
974	41818	1072
975	41858	1029
976	41895	986
977	41934	943
978	41969	900
979	42006	857
980	42045	814
981	42082	771
982	42122	728
983	42163	685
984	42200	642
985	42240	599
986	42280	556
987	42317	513
988	42354	471
989	42391	428
990	42424	385
991	42462	342
992	42500	299
993	42537	256
994	42579	213
995	42617	171
996	42652	128
997	42695	85
998	42731	42
999	42773	0
