iter	Logloss
0	0.6331961418
1	0.5844412222
2	0.5438437953
3	0.506468665
4	0.4737889547
5	0.4480650589
6	0.4274466261
7	0.4079196121
8	0.3927405905
9	0.3755396945
10	0.3635239888
11	0.3535796758
12	0.3417170836
13	0.3244210404
14	0.3138084288
15	0.3063037064
16	0.3010145715
17	0.2911621546
18	0.2871001626
19	0.2828180232
20	0.2796480626
21	0.2762169295
22	0.2696758014
23	0.2645316813
24	0.2590168609
25	0.2541396754
26	0.2461949163
27	0.2429504866
28	0.2353371522
29	0.2319002126
30	0.2256198909
31	0.2205543811
32	0.217884188
33	0.2144400031
34	0.2109807043
35	0.2055319906
36	0.2024505616
37	0.2014501699
38	0.1984005718
39	0.1955337948
40	0.1921907104
41	0.1884705189
42	0.1866510767
43	0.1804911436
44	0.1762970902
45	0.1739947946
46	0.1718879751
47	0.1689071461
48	0.167456706
49	0.165794816
50	0.1647906019
51	0.1631891047
52	0.1618638702
53	0.1613273703
54	0.160349176
55	0.1579856011
56	0.1567801689
57	0.1560800658
58	0.1539991235
59	0.1533417516
60	0.1526183521
61	0.1521599368
62	0.1515583093
63	0.1505235204
64	0.1500266265
65	0.1495077475
66	0.1485944474
67	0.1481790296
68	0.1475109259
69	0.1466144334
70	0.1458775752
71	0.1448475301
72	0.1441814125
73	0.1436150056
74	0.1433320984
75	0.1429013999
76	0.1425339912
77	0.1417222832
78	0.1411562681
79	0.1408699121
80	0.1407063106
81	0.1401658212
82	0.1396238638
83	0.1393052574
84	0.1390781571
85	0.1386701848
86	0.1382921044
87	0.1376346035
88	0.1374228739
89	0.1372483248
90	0.1361021211
91	0.1358310583
92	0.1355531406
93	0.1351754002
94	0.1349069399
95	0.1347363715
96	0.1345457695
97	0.1339915617
98	0.1331428692
99	0.1326864107
100	0.1324706981
101	0.1321923939
102	0.1319887818
103	0.1317430339
104	0.1316045011
105	0.1313145586
106	0.1307637244
107	0.1303041392
108	0.1299009637
109	0.1297040903
110	0.129253212
111	0.1290444835
112	0.1287634177
113	0.1286296564
114	0.1285004184
115	0.1283589504
116	0.1280550901
117	0.1278600727
118	0.1277786064
119	0.1275869436
120	0.1272808979
121	0.1269970633
122	0.1262452891
123	0.125986546
124	0.1255244728
125	0.1254560725
126	0.1252445055
127	0.1250924916
128	0.1247436308
129	0.124421057
130	0.1243004411
131	0.124217396
132	0.1241058966
133	0.1239064254
134	0.123753932
135	0.1236326353
136	0.1231126444
137	0.1229063659
138	0.1227389429
139	0.1224914044
140	0.1222888248
141	0.1220975863
142	0.1219863954
143	0.1218444378
144	0.1217275291
145	0.1216371747
146	0.1214602644
147	0.1212407806
148	0.1208373897
149	0.1207706562
150	0.1206804439
151	0.1203898241
152	0.1201983174
153	0.1201069475
154	0.1198507172
155	0.1197608932
156	0.1196977028
157	0.119508925
158	0.1193739611
159	0.11927545
160	0.1192082193
161	0.1188243807
162	0.1187504244
163	0.1184033584
164	0.1182406952
165	0.1179241507
166	0.1177095233
167	0.1175767298
168	0.1174820089
169	0.1173122583
170	0.1172093143
171	0.1169412481
172	0.1164985851
173	0.1164233697
174	0.1163275479
175	0.1162501532
176	0.1161543471
177	0.116076518
178	0.115707032
179	0.1156224973
180	0.1155683732
181	0.1154673018
182	0.1153124649
183	0.11524405
184	0.1149863004
185	0.1149146181
186	0.1147138015
187	0.1146106948
188	0.1144620191
189	0.1143877105
190	0.1142170681
191	0.1141281831
192	0.1140371247
193	0.1139329823
194	0.1138323441
195	0.11376638
196	0.1136698922
197	0.1136090154
198	0.1135280883
199	0.1133823445
200	0.1132757862
201	0.1131481806
202	0.1130132423
203	0.1129512519
204	0.1128509466
205	0.1127918724
206	0.1127480282
207	0.1126638961
208	0.1125685827
209	0.1124617378
210	0.1123873634
211	0.1121162278
212	0.1119478124
213	0.1118172226
214	0.1117476627
215	0.1116776102
216	0.1113439586
217	0.1112783356
218	0.1111499559
219	0.1110758549
220	0.1109332807
221	0.1108715167
222	0.1107954882
223	0.1107618527
224	0.1106095683
225	0.1105435871
226	0.1104923447
227	0.1104609232
228	0.1103680922
229	0.1100927912
230	0.1098560634
231	0.1097351511
232	0.1096841289
233	0.1096244642
234	0.1095683078
235	0.1094866809
236	0.1093555916
237	0.1092567582
238	0.1092192723
239	0.1091427446
240	0.1090582593
241	0.1089391995
242	0.1088511085
243	0.1087854112
244	0.108717591
245	0.1086269617
246	0.1085608345
247	0.1083684396
248	0.1082537499
249	0.1081831325
250	0.1081054161
251	0.1080015235
252	0.1078172722
253	0.1077489838
254	0.1076650801
255	0.1075850829
256	0.1075046634
257	0.1074554461
258	0.1074147684
259	0.1073254366
260	0.1070408803
261	0.1068606255
262	0.1067703776
263	0.1067027993
264	0.1066212339
265	0.1065590763
266	0.1064992002
267	0.1063894254
268	0.1062782262
269	0.1061639253
270	0.106113659
271	0.1060786803
272	0.106013563
273	0.1059391365
274	0.1058978328
275	0.1058182745
276	0.1057301511
277	0.105679159
278	0.1056305642
279	0.1055843149
280	0.1054991929
281	0.1054092566
282	0.1051465507
283	0.1051101481
284	0.1048871747
285	0.1048370573
286	0.1047591484
287	0.1045805157
288	0.1044960245
289	0.1044303869
290	0.1043730606
291	0.1043205013
292	0.1042205925
293	0.1041655331
294	0.1040956704
295	0.1040281832
296	0.1039365287
297	0.1038898492
298	0.1036987221
299	0.1036441384
300	0.1034353099
301	0.1033633961
302	0.1033048383
303	0.1032633512
304	0.1031867395
305	0.1031188749
306	0.103050841
307	0.1029925853
308	0.1029468441
309	0.1028819759
310	0.1028428886
311	0.102786352
312	0.1026835117
313	0.1025830034
314	0.1025090584
315	0.1024732553
316	0.1023932202
317	0.1023344316
318	0.1022914118
319	0.10223062
320	0.1021063084
321	0.1020654333
322	0.1020175771
323	0.1019517133
324	0.1019091593
325	0.1018458176
326	0.1016571624
327	0.1016062188
328	0.1015501975
329	0.1012899897
330	0.1012345757
331	0.1010525849
332	0.1010158642
333	0.1008058883
334	0.1007514269
335	0.1007140277
336	0.1006698694
337	0.1006067199
338	0.1005388542
339	0.1004730746
340	0.1004203526
341	0.100365893
342	0.1003105041
343	0.1002603449
344	0.1001863359
345	0.1001495086
346	0.1000955162
347	0.1000322344
348	0.09992746359
349	0.09971324521
350	0.09962466103
351	0.09949250178
352	0.09939978983
353	0.09925155455
354	0.09918756662
355	0.09913099543
356	0.09893382667
357	0.09884027078
358	0.09878635087
359	0.09873452226
360	0.09869322637
361	0.09864631714
362	0.09861319465
363	0.09857580392
364	0.09852788908
365	0.0984617737
366	0.09836672225
367	0.09824958755
368	0.09820017579
369	0.09807866179
370	0.09803759467
371	0.09800261551
372	0.09798059865
373	0.09793308527
374	0.09789341718
375	0.09785089065
376	0.0977780687
377	0.09770584912
378	0.09765648456
379	0.09762038194
380	0.09757672222
381	0.09750194847
382	0.09745739989
383	0.09738358415
384	0.09731184308
385	0.09723463399
386	0.09720545002
387	0.09711477366
388	0.09705199141
389	0.09699660831
390	0.09692152468
391	0.09683948579
392	0.0967728045
393	0.09666733689
394	0.09656660085
395	0.09652221493
396	0.09649403251
397	0.09644654006
398	0.09642042675
399	0.09637978336
400	0.09633903316
401	0.09630742076
402	0.09624823484
403	0.09621343918
404	0.09616849496
405	0.09609109856
406	0.09602117888
407	0.09595186924
408	0.0958947594
409	0.09583046549
410	0.09579804364
411	0.09577889999
412	0.09573659717
413	0.09570330977
414	0.09566523064
415	0.09563037127
416	0.09553982626
417	0.09544022476
418	0.09540652839
419	0.09535657819
420	0.09530544907
421	0.09523751189
422	0.0951998568
423	0.09515536117
424	0.09510686894
425	0.09504310695
426	0.09501017978
427	0.09495915186
428	0.09490639719
429	0.09484554178
